public_path,disk_path,source_raster,target_width,original_bytes,candidate_bytes,saved_bytes,saved_pct,action,error
/images/bleach-festival-burleigh-heads-two-girls-coffee-nearby-gold-coast-motel.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\bleach-festival-burleigh-heads-two-girls-coffee-nearby-gold-coast-motel.webp,images/local/burleigh/bleach-festival-burleigh-heads-two-girls-coffee-nearby-burleigh-gold-coast-motel.webp,1200,77818,77818,0,0.00,kept_original,
/images/blog/best-gold-coast-beaches-surf-guide-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\best-gold-coast-beaches-surf-guide-280w.webp,,280,7764,,,,no_source_raster,manifest lookup failed in images/
/images/blog/best-gold-coast-beaches-surf-guide-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\best-gold-coast-beaches-surf-guide-340w.webp,,340,10450,,,,no_source_raster,manifest lookup failed in images/
/images/blog/best-gold-coast-beaches-surf-guide-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\best-gold-coast-beaches-surf-guide-420w.webp,,420,14430,,,,no_source_raster,manifest lookup failed in images/
/images/blog/best-gold-coast-beaches-surf-guide-680w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\best-gold-coast-beaches-surf-guide-680w.webp,,680,29750,,,,no_source_raster,manifest lookup failed in images/
/images/blog/burleigh-gold-coast-motel-exterior-street-view-miami-qld-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-gold-coast-motel-exterior-street-view-miami-qld-280w.webp,images/motel/exterior/burleigh-gold-coast-motel-exterior-street-view-miami-qld.webp,280,11912,14928,-3016,-25.32,kept_original,
/images/blog/burleigh-gold-coast-motel-exterior-street-view-miami-qld-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-gold-coast-motel-exterior-street-view-miami-qld-340w.webp,images/motel/exterior/burleigh-gold-coast-motel-exterior-street-view-miami-qld.webp,340,17344,21758,-4414,-25.45,kept_original,
/images/blog/burleigh-gold-coast-motel-exterior-street-view-miami-qld-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-gold-coast-motel-exterior-street-view-miami-qld-420w.webp,images/motel/exterior/burleigh-gold-coast-motel-exterior-street-view-miami-qld.webp,420,25978,31602,-5624,-21.65,kept_original,
/images/blog/burleigh-gold-coast-motel-exterior-street-view-miami-qld-680w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-gold-coast-motel-exterior-street-view-miami-qld-680w.webp,images/motel/exterior/burleigh-gold-coast-motel-exterior-street-view-miami-qld.webp,680,64684,72332,-7648,-11.82,kept_original,
/images/blog/burleigh-gold-coast-motel-front-entrance-vacancy-miami-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-gold-coast-motel-front-entrance-vacancy-miami-280w.webp,images/motel/exterior/burleigh-gold-coast-motel-front-entrance-vacancy-miami.webp,280,12312,15278,-2966,-24.09,kept_original,
/images/blog/burleigh-gold-coast-motel-front-entrance-vacancy-miami-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-gold-coast-motel-front-entrance-vacancy-miami-340w.webp,images/motel/exterior/burleigh-gold-coast-motel-front-entrance-vacancy-miami.webp,340,17430,21494,-4064,-23.32,kept_original,
/images/blog/burleigh-gold-coast-motel-front-entrance-vacancy-miami-420w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-gold-coast-motel-front-entrance-vacancy-miami-420w.webp,images/motel/exterior/burleigh-gold-coast-motel-front-entrance-vacancy-miami.webp,420,25168,30356,-5188,-20.61,kept_original,
/images/blog/burleigh-gold-coast-motel-front-entrance-vacancy-miami-680w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-gold-coast-motel-front-entrance-vacancy-miami-680w.webp,images/motel/exterior/burleigh-gold-coast-motel-front-entrance-vacancy-miami.webp,680,60048,66994,-6946,-11.57,kept_original,
/images/blog/burleigh-heads-beach-surfers-families-gold-coast-skyline-motel-280w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-heads-beach-surfers-families-gold-coast-skyline-motel-280w.webp,images/local/burleigh/burleigh-heads-beach-surfers-families-gold-coast-skyline-burleigh-gold-coast-motel.webp,280,6956,7458,-502,-7.22,kept_original,
/images/blog/burleigh-heads-beach-surfers-families-gold-coast-skyline-motel-340w.webp,I:\Dev\BGCM\Z-HTML-Final\Z-HTML-Final\src\public_html\images\blog\burleigh-heads-beach-surfers-families-gold-coast-skyline-motel-340w.webp,images/local/burleigh/burleigh-heads-beach-surfers-families-gold-coast-skyline-burleigh-gold-coast-motel.webp,340,9868,10224,-356,-3.61,kept_original,
